institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue,ID,
The Citadel,SC,Charleston,34988,2911,1030-1220,http://www.citadel.edu,81,298,
City University of Seattle,WA,Seattle,,,N/A,//www.cityu.edu,,299,
Claflin University,SC,Orangeburg,16722,2080,860-1040,http://www.claflin.edu,56,300,
Claremont McKenna College,CA,Claremont,56475,1324,1350-1500,http://www.claremontmckenna.edu,9,301,
Clarion University of Pennsylvania,PA,Clarion,15007,3942,950-1130,http://www.clarion.edu,94,302,
Clark Atlanta University,GA,Atlanta,23672,3325,950-1110,http://www.cau.edu,52,303,
Clark College,WA,Vancouver,,,N/A,//www.tacomacc.edu,,304,
Clarke University,IA,Dubuque,34670,744,930-1096,https://www.clarke.edu,82,305,
Clarkson College,NE,Omaha,,,N/A,//www.clarksoncollege.edu,,306,
Clarkson University,NY,Potsdam,51128,3091,1160-1350,https://www.clarkson.edu/,71,307,
Clarks Summit University,PA,Clarks Summit,24840,531,N/A,//www.bbc.edu,66,308,
Clark University,MA,Worcester,47200,2304,1200-1390,http://www.clarku.edu,59,309,
Clayton State University,GA,Morrow,19956,6597,870-1020,http://www.clayton.edu,54,310,
Clear Creek Baptist Bible College,KY,Pineville,,,N/A,//www.ccbbc.edu,,311,
Cleary University,MI,Howell,,,N/A,http://www.cleary.edu,,312,
